School Name,Conference,Strength of Statement (Mentioning Good Cops) 1-7,Strength of Statement,Statement Link,Statement text,On Twitter?,"""Murder/Killing""","""Institutional/Systemic Racism""","""George Floyd""","""Breonna Taylor""","""Mentions-Blackness/Discrimination against Black people""",Taking Action?,"""Issue of Police""",Good Cops?,Follow up/updated statement?,Follow up Link
American University,,6,6,https://www.american.edu/president/announcements/may-31-2020.cfm,"Dear AU Community, 

I am usually a measured person, I believe that focus and hard work brings change, but today that is not enough. I write to you sad, frustrated, and angry. The horrific acts of violence against Black communities break our hearts. I just want to scream STOP! The killings of George Floyd, Breonna Taylor, and Ahmaud Arbery lay bare the deep wounds of racism that have plagued our country for too long. My heart goes out to everyone hurting from these unacceptable tragedies and the centuries of injustice they represent.

The anguish in so many communities is the effect of systemic racism that tears at the fabric of our society. We have experienced this pain firsthand on our campus. We know we have more work to do to combat racism and foster inclusive excellence. We have to listen, to live our values through active anti-racist practices, and to confront all forms of discrimination, bigotry, and hatred in our society.

While COVID-19 makes it difficult for us to gather and address this heartbreak together, we are here for our community. If you need support, please reach out to our university resources, including the Dean of Students' office, the Center for Diversity and Inclusion, the Kay Spiritual Life Center, the Counseling Center, and the Faculty/Staff Assistance Program (FSAP).

While the journey toward a more just society is demanding, we must each take steps that propel us all forward. At American University, our educational and research mission, our committed faculty and staff, and our students give us the opportunity and the obligation to take up this challenge. We will build on the work of our scholars who engage on the problems of racism, criminal justice reform, and societal disparities. We must take responsibility to educate ourselves and others about the issues and structures that perpetuate racism so we can work to change them. We will listen and learn from those who have experienced these tragedies and who live with the fear and pain of racism every day. And we must reject the fear and violence that some would use to further divide us.In these overwhelming times, please take care of yourselves and each other. Let us acknowledge the pain so many are feeling and find ways to support the Black community. Let us remember those who have suffered and lost from racism and hatred. And let us find strength in our shared humanity and our hope for justice.

Be safe and be well.

Sylvia",Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,
Amherst College,,6,6,https://www.amherst.edu/amherst-story/president/statements/node/771455,"Dear Students, Faculty, Staff, and Alumni, 

This morning‘s celebration of our graduates offered a reprieve from the horror, deep sadness, and rage I feel about the killings of George Floyd, Breonna Taylor, Ahmaud Arbery, and the much longer list of unarmed black men, women, trans and nonbinary people whose lives have been taken by police officers or apparent vigilantes. The virulent anti-black racism in this country has never NOT been obvious, and yet there are those who continue to deny it. And there are clearly those who propagate it. Over the past several years, overt avowals and defenses of white supremacy have been more frequent, having been given license by statements and tweets at the highest levels of government. When I say that the pandemic has made racism even more glaringly obvious, as I did at this morning’s event, I am making a plea, to white people, in particular, to acknowledge the reality of anti-black racism, its long history, and its current force; to recognize how embedded it is in our institutional structures, social systems, and cultural norms; and to assume our responsibility for ending it. 
On behalf of the College, I condemn racial hatred, violence, and injustice. I know that many of you are peacefully protesting these most recent killings and the history of which they are a part. Many of you will be creating educational opportunities and offering support to our black students, staff, faculty, alumni and families. They live with the fear, rage, and sorrow that these killings are bound to bring up. Those of us who are white need to risk more and resist the assumption that this is someone else‘s responsibility. Whose, if not ours? The fact of anti-black racism in America is clear. No amount of outright lying or chaos-producing disinformation can change the truth of it. None of the obvious efforts to erode the very possibility of truth and destroy a shared knowledge of reality will deter us from speaking truth. 

We know from our black students and many of their allies that we have not done enough at the College to ensure their freedom from racist bias, even racist acts, much less to ensure their sense of belonging and equal ownership of the culture and life of the College. We have a great deal of work to do here at home. It begins, as it must, with truthfulness when faced with the evidence of our shortcomings. We also have to act—and act together as a community. There is so much at stake in this moment—our humanity, our democracy, and our planet. What a truly great country this could be if the privileges enjoyed by those who happen to be white were instead opportunities available to everyone. But we have not advanced to the point when black Americans can take their safety for granted, or assume they will enjoy equal opportunity, or get justice. So we have a very long way to go. 

I look forward to working with all of you. 

Biddy",No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,,
Appalachian State University,,1,2,https://police.appstate.edu/statement-from-chief-stephenson-05-30-20,"As an officer of the law for more than 24 years, I am angered, sickened and ashamed by the actions of the police officers who are responsible for the death of George Floyd. I have felt compelled to apologize for those members of my profession who have yet to understand, or are not capable of understanding, what policing is meant to be. 

Policing is much more than simply the enforcement of laws. What matters most is the manner in which police officers interact with members of our communities. Policing must transition to a profession that attracts the brightest minds. Police officers must be actively engaged in building stronger communities, together with every member of the communities they serve. 

I know I have to go beyond apologizing, beyond talking, and take action. 

I view our App State Police academy program as a means for introducing reform into the communities of North Carolina, and beyond. Our young police officers need education and training that goes well beyond the minimum state training standards, both in the number of training hours and the topics of mandated instruction. Unless we engage and employ innovative new strategies, policing will continue to be destined for failure. This change begins with education. 

I feel extremely fortunate that I have been able to begin this work in the short time that I’ve been at Appalachian State University. Policing has always been controversial, and our university leadership has supported the work I have wanted to do to enact change. As we graduate officers with new standards of education, training and a clear understanding of their role in the communities they serve, our university police department is changing. Our officers have made some errors in judgment, but we are becoming a better department, better officers of the law, and most importantly, better stewards for our community, each day. 

We pledge to continue our work as a department, and the work of our academy, to change our profession so that police are truly protecting and serving every member of the communities in which they live. 


Chief Andy Stephenson, App State Police",No,No,No,Yes,No,No,No,Yes,Yes,,
Arizona State University,Pac-12,5,5,https://president.asu.edu/statements/a-message-from-asu-president-michael-crow,,No,No,Yes,Yes,No,Yes,Yes,Yes,No,,
Auburn University,,1,1,https://twitter.com/AuburnU/status/1267194601078693889,"Dear Auburn Family, 

Our nation is hurting. For the last few months, we have hurt physically, financially and otherwise from the coronavirus. Now, recent events of racial injustice are hurting us in many ways that words often find inadequate to fully express. While we acknowledge the painful reality that prejudice and bigotry exist, we stand resolute that they have no place in the Auburn Family. As an institution that values and embraces each individual, we oppose hate and exclusion and acts that promote them. It was on my heart to reaffirm Auburn’s values. I’m confident that we, together, will work toward change and healing. 

Jay Gogue 
President",Yes,Yes,No,No,No,No,No,No,No,No,
Augustana University,,6,6,http://augie.edu/news/augustana-university-statement-concerning-racial-injustice-and-recent-events,"As a Christian institution, we believe our faith compels us to speak out against violence, injustice and oppression.

In addition to a global pandemic, the first half of 2020 has seen yet another spate of senseless and tragic deaths of unarmed black men and women in different communities across our country. Four months ago, Ahmaud Arbery was shot and killed while jogging in Brunswick, Georgia, and, just last week, in our neighboring state of Minnesota, George Floyd, after repeatedly telling police he couldn’t breathe, died lying face down and handcuffed in the street.

Augustana University acknowledges the pain and anguish of the Black community when such heart-wrenching racial and social injustices occur and reoccur. The videos of these events are so very difficult to watch and result in varying degrees of trauma for all of us. We cannot allow ourselves to become desensitized to these horrific events. While difficult, we must have the important conversations about these events and systemic racism with our children, our friends, our colleagues and others in our community. 

At Augustana, students enter to learn and leave to serve. To serve the neighbor. In a diverse world. Ahmaud Arbery, Breonna Taylor, and George Floyd were our neighbors, made in the image of God. We grieve their deaths. And we extend our love and prayers to their families, and to our colleagues, students and friends who are people of color—who experience the pain, anger and sorrow of these tragic events far more deeply because of shared lived experiences that all of us must try to understand and respect more deeply.

On behalf of Augustana University, we reaffirm our campus and community commitment to diversity, equity and inclusion and to social justice. This commitment is reflective of our Core Values and our common institutional calling with other ELCA colleges and universities to educate students who are called and empowered to serve the neighbor so all may flourish. We are a dedicated partner with those who seek to mobilize our broader community in support of meaningful actions that work to end systemic racism. 

We are called to come alongside all who suffer. May God’s love inspire action that helps mend these wounds and lifts up those around us.

Stephanie Herseth Sandlin
President",No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,,
Austin College,,1,1,https://twitter.com/AustinCollege/status/1267868933069176833,,Yes,No,Yes,No,No,No,No,No,No,,
Babson College,,3,3,https://entrepreneurship.babson.edu/community-message-6-1/,"Dear Babson Community:
Last week, the world witnessed an appalling act of violence in Minneapolis. The death of George Floyd represents the latest in a long, horrific, unacceptable pattern of unequal treatment and violence against the black community. We are reminded yet again of the toll that hatred and systemic racism can exact on our communities, nation and world—and the disproportionate impact on black communities and lives. Like many of you, we are angry, frustrated, and heartbroken.

This incident highlights important and disturbing concerns about institutional racism and violence in our society. As entrepreneurial leaders, we are driven to solve problems, to lead with empathy, and to create solutions to complex systemic challenges. It is our responsibility to discuss and explore these issues, to listen and learn, to confront our own biases, and to speak out and lead change.

Babson is continually working to improve equity and inclusion. We are enriched by a diversity of races, cultures, backgrounds, and perspectives, and united by a shared vision to create positive change in the world. This incident is a stark reminder that we must do more. As individuals and as a community, we must hold ourselves accountable to be actively anti-racist.

Pursuing equity and inclusive excellence at Babson continues to be an ongoing and important part of our collective mission. Babson’s Diversity and Inclusion Council, under the leadership of Sadie Burton-Goss, Chief Diversity & Inclusion Officer, leads much of this important work on campus and is a tremendous resource for our community. The Council plans to communicate with our community members the resources and support services we continue to offer to be an ally to colleagues, classmates, and society.

We must continuously ask ourselves: What will I do, in my own way, to become more aware of my own biases and the impact of that behavior? Every day, we should model and show respect, be accountable for our actions, and engage each other with compassion. Peaceful protests lead to new ways forward. Our mission is to be the leaders of the change we seek.

We are one community, supporting each other through an unimaginable time. One Babson. Thank you for your leadership, strength, and resilience.

Sincerely,

Steve Spinelli, President
Donna Bonaparte, Vice President, Chief Human Resources Officer
Sadie Burton-Goss, Chief Diversity & Inclusion Officer
Andrea Lindner, Student Government Association President
James Pollard, Chief of Police and Director, Public Safety Department
Mark Rice, Provost
Lawrence Ward, Vice President for Student Affairs and Dean of Students
Rachel Zelcer, Graduate Student Council President",No,No,Yes,Yes,No,Yes,No,No,No,,
Barnard College,,6,6,https://barnard.edu/news/denouncing-anti-black-violence,"Dear Members of the Barnard Community,

Although we are not physically together at the moment, I have seen so many ways in the past several months in which the Barnard community has stepped up to support one another — even in the darkest moments of loss on our campus and in our community. It is in this spirit of support that I write to you today to denounce, in the strongest possible form, the anti-Black violence and rhetoric that is currently unfolding across the nation. 

The recent killings of George Floyd, Ahmaud Arbery, Breonna Taylor and others serve as horrific reminders of how structural racism is enacted in this country. The pain that these injustices inflict, especially to members of the black community, is immeasurable. And that these atrocities have occurred during the current pandemic, which has disproportionately affected people of color, only adds to the distress. The fact that people of all ethnicities are gathering in protest, even while many states are just beginning the process of a gradual reopening, further demonstrates the pain inflicted by the inequalities that continue to plague our society.

Barnard is an institution that aims to interrogate racism and systematic discrimination in all its forms and to produce knowledge and actions that help address entrenched disparities in our society. One example is the work being done at the Barnard Center for Research on Women around interrupting criminalization and transformative justice. I encourage you to learn about and get involved in this important work that we are fortunate to have at Barnard. 

Every institution, including our own, has work to do here. Our educational mission demands that we speak up when we see violence against other human beings and relentlessly commit to the creation of a more just society.

There are resources available to you in these difficult times. Students can call Furman Counseling Center at 212-854-2092 for consultation and referral to counseling resources in their local community during the summer months. Faculty and staff can make use of our Employee Assistance Program through Humana at 800-448-4358. 

I also encourage you to look for ways to support black communities and those in need across the nation. Vice President of DEI Ariana González Stokas, the Barnard Center for Research on Women, the Athena Center for Leadership, and Barnard SGA are all sources of information and have resources you can access.

There are moments in history that test who we are and what we stand for. There are many ways to struggle for justice. There are many ways to express solidarity. The first is to commit to anti-racism and to find, even in small ways, how we can contribute in our own work toward racial justice and equality.

Please take care of yourself and each other during these challenging times.

Sian Leah Beilock
President",No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,,
Baylor University,,0,0,https://www.baylor.edu/president/doc.php/356940.pdf,"Statement by the Big 12 Conference Board of Directors

As a conference representing thousands of students, faculty, and staff from all walks of life, we are committed to fostering a culture of inclusivity and respect in our campus communities. Acts of racism and violence, no matter their origin or target, contradict this core commitment we share within the Big 12 Conference. Recent incidents of racial violence underscore the need for us and for all Americans to joion together in addressing matters of racism and injustice in a united, meaningful way.",Yes,No,No,No,No,No,No,No,No,Yes,https://www.baylor.edu/president/news.php?action=story&story=219143
